

========================================================

Class: 9 | Subject: Digital

Roll: 1   Mark : 85  Percentage: 59
Roll: 43   Mark : 6  Percentage: 4
Roll: 44   Mark : 8  Percentage: 5
Roll: 45   Mark : 21  Percentage: 14


========================================================

Class: 7 | Subject: Digital

Roll: 1   Mark : 34  Percentage: 23
Roll: 2   Mark : 30  Percentage: 21
Roll: 3   Mark : 66  Percentage: 46
Roll: 4   Mark : 28  Percentage: 19
Roll: 5   Mark : 18  Percentage: 12
Roll: 6   Mark : 50  Percentage: 35
Roll: 7   Mark : 30  Percentage: 21
Roll: 8   Mark : 54  Percentage: 37
Roll: 9   Mark : 48  Percentage: 33
Roll: 10   Mark : 13  Percentage: 9
Roll: 11   Mark : 26  Percentage: 18
Roll: 12   Mark : 20  Percentage: 14
Roll: 13   Mark : 18  Percentage: 12
Roll: 14   Mark : 30  Percentage: 21
Roll: 15   Mark : 37  Percentage: 25
Roll: 16   Mark : 41  Percentage: 28
Roll: 17   Mark : 27  Percentage: 18
Roll: 18   Mark : 29  Percentage: 20
Roll: 19   Mark : 30  Percentage: 21
Roll: 20   Mark : 26  Percentage: 18
Roll: 21   Mark : 28  Percentage: 19
Roll: 22   Mark : 33  Percentage: 23
Roll: 23   Mark : 28  Percentage: 19
Roll: 24   Mark : 12  Percentage: 8
Roll: 25   Mark : 43  Percentage: 30
Roll: 26   Mark : 34  Percentage: 23
Roll: 27   Mark : 34  Percentage: 23
Roll: 28   Mark : 25  Percentage: 17
Roll: 29   Mark : 21  Percentage: 14
Roll: 30   Mark : 32  Percentage: 22
Roll: 31   Mark : 25  Percentage: 17
Roll: 32   Mark : 15  Percentage: 10
Roll: 33   Mark : 30  Percentage: 21
Roll: 34   Mark : 10  Percentage: 7
Roll: 35   Mark : 35  Percentage: 24
Roll: 36   Mark : 17  Percentage: 11
Roll: 37   Mark : 12  Percentage: 8
Roll: 38   Mark : 14  Percentage: 9
Roll: 39   Mark : 16  Percentage: 11
Roll: 40   Mark : 57  Percentage: 39
Roll: 41   Mark : 11  Percentage: 7
Roll: 42   Mark : 12  Percentage: 8
Roll: 43   Mark : 6  Percentage: 4
Roll: 44   Mark : 29  Percentage: 20
Roll: 45   Mark : 18  Percentage: 12
Roll: 46   Mark : 14  Percentage: 9
Roll: 47   Mark : 9  Percentage: 6
Roll: 48   Mark : 37  Percentage: 25
Roll: 49   Mark : 13  Percentage: 9
Roll: 50   Mark : 28  Percentage: 19
